id,name,description,category,base_price,vat_fee,in_stock,has_sizes,created_at,updated_at
11111111-1111-1111-1111-111111111111,Iced Americano,Chilled espresso with crisp water and light sweetener.,Beverages,6.5,0.65,true,true,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
22222222-2222-2222-2222-222222222222,Espresso,Rich espresso shot served hot.,Beverages,5.0,0.5,true,true,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
33333333-3333-3333-3333-333333333333,Cheeseburger,"Classic cheeseburger with lettuce, tomato, and cheese.",Main Dishes,13.5,1.35,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
44444444-4444-4444-4444-444444444444,French Fries,Crispy golden fries served hot.,Side Dish,7.5,0.75,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
55555555-5555-5555-5555-555555555555,Chocolate Cake,Rich chocolate cake slice with creamy frosting.,Desserts,11.0,1.1,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
66666666-6666-6666-6666-666666666666,Cappuccino,"Espresso with steamed milk and velvety foam.",Beverages,6.0,0.6,true,true,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
77777777-7777-7777-7777-777777777777,Grilled Chicken Sandwich,"Grilled chicken breast with lettuce, tomato, and a toasted bun.",Main Dishes,15.0,1.5,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
88888888-8888-8888-8888-888888888888,Mocha Latte,"Espresso with cocoa, steamed milk, and light foam.",Beverages,7.0,0.7,true,true,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
99999999-9999-9999-9999-999999999999,Green Tea,Hot brewed green tea with a clean citrus finish.,Beverages,4.5,0.45,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
aaaaaaaa-aaaa-aaaa-aaaa-000000000001,BLT Sandwich,"Smoky bacon, crisp lettuce, and fresh tomato on toasted bread.",Main Dishes,13.5,1.35,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
bbbbbbbb-bbbb-bbbb-bbbb-000000000002,Veggie Wrap,"Grilled vegetables, lettuce and tomato wrapped in a soft tortilla.",Main Dishes,12.0,1.2,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
cccccccc-cccc-cccc-cccc-000000000003,Caesar Salad,"Crisp greens with crunchy croutons and shaved parmesan.",Main Dishes,10.0,1.0,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
dddddddd-dddd-dddd-dddd-000000000004,Onion Rings,Crispy beer-battered onion rings served with dipping sauce.,Side Dish,6.5,0.65,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
eeeeeeee-eeee-eeee-eeee-000000000005,Blueberry Muffin,Moist muffin loaded with fresh blueberries.,Desserts,4.75,0.48,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
ffffffff-ffff-ffff-ffff-000000000006,Fruit Smoothie,"Fresh berries and yogurt blended into a refreshing drink.",Beverages,7.25,0.73,true,true,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
11111111-2222-3333-4444-555566667777,Tomato Soup,Warm tomato soup with fresh herbs and cream.,Side Dish,5.5,0.55,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
88888888-9999-0000-1111-222233334444,Chocolate Chip Cookie,Chewy cookie filled with chocolate chips.,Desserts,3.75,0.38,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
99999999-aaaa-bbbb-cccc-000000000007,Calamansi Iced Tea,Tart citrus juice shaken with ice and a touch of sweetener.,Beverages,4.5,0.45,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
aaaaaaaa-bbbb-cccc-dddd-000000000008,Ube Pandesal,Purple Filipino pastry with soft purple yam flavor.,Pastries,4.25,0.43,true,false,2026-03-30T11:47:03.852Z,2026-04-04T09:00:00.000Z
